Date,Year,Month,Open,High,Low,Close,Avg,Vol.
07/01/2019,2019,Jul,256.5,256.5,256.5,256.5,256.5,0.05K
08/01/2019,2019,Aug,255.5,255.5,255.5,255.5,255.5,
09/01/2019,2019,Sep,253,253,253,253,253,0.06K
10/01/2019,2019,Oct,231,231,231,231,231,0.21K
11/01/2019,2019,Nov,208.5,208.5,208.5,208.5,208.5,
12/01/2019,2019,Dec,228,228,228,228,228,
01/01/2020,2020,Jan,222,222,222,222,222,0.08K
02/01/2020,2020,Feb,249.5,249.5,249.5,249.5,249.5,0.21K
03/01/2020,2020,Mar,258,258,258,258,258,0.29K
04/01/2020,2020,Apr,251.6,251.6,251.6,251.6,251.6,0.20K
05/01/2020,2020,May,187,187,187,187,187,0.12K
06/01/2020,2020,Jun,198,198,198,198,198,
07/01/2020,2020,Jul,224,224,224,224,224,0.12K
08/01/2020,2020,Aug,232.5,232.5,232.5,232.5,232.5,
09/01/2020,2020,Sep,215.5,215.5,215.5,215.5,215.5,0.21K
10/01/2020,2020,Oct,224,224,224,224,224,0.03K
11/01/2020,2020,Nov,249.5,249.5,249.5,249.5,249.5,0.02K
12/01/2020,2020,Dec,253.5,253.5,253.5,253.5,253.5,
01/01/2021,2021,Jan,358.5,358.5,358.5,358.5,358.5,0.14K
02/01/2021,2021,Feb,360.5,360.5,360.5,360.5,360.5,0.11K
03/01/2021,2021,Mar,365,365,365,365,365,0.23K
04/01/2021,2021,Apr,365,365,365,365,365,0.17K
05/01/2021,2021,May,396,396,396,396,396,0.06K
06/01/2021,2021,Jun,440,440,440,440,440,0.15K
07/01/2021,2021,Jul,422,422,422,422,422,0.05K
08/01/2021,2021,Aug,450,450,450,450,450,0.11K
09/01/2021,2021,Sep,538.6,538.6,538.6,538.6,538.6,0.13K
10/01/2021,2021,Oct,727.5,727.5,727.5,727.5,727.5,0.09K
11/01/2021,2021,Nov,820,820,820,820,820,0.06K
12/01/2021,2021,Dec,762.5,762.5,762.5,762.5,762.5,
01/01/2022,2022,Jan,632.5,632.5,632.5,632.5,632.5,0.22K
02/01/2022,2022,Feb,671,671,671,671,671,0.11K
03/01/2022,2022,Mar,836.7,836.7,836.7,836.7,836.7,0.17K
04/01/2022,2022,Apr,645,645,645,645,645,0.08K
05/01/2022,2022,May,562.5,562.5,562.5,562.5,562.5,0.04K
06/01/2022,2022,Jun,495.5,495.5,495.5,495.5,495.5,
07/01/2022,2022,Jul,595,595,595,595,595,
08/01/2022,2022,Aug,596.75,596.75,596.75,692.5,620.69,0.06K
09/01/2022,2022,Sep,617.5,617.5,617.5,617.5,617.5,
10/01/2022,2022,Oct,535,535,535,535,535,0.05K
11/01/2022,2022,Nov,467.5,467.5,467.5,467.5,467.5,0.06K
12/01/2022,2022,Dec,460,460,460,460,460,
01/01/2023,2023,Jan,360,360,360,360,360,0.02K
02/01/2023,2023,Feb,322.5,322.5,322.5,322.5,322.5,0.06K
03/01/2023,2023,Mar,313.5,313.5,313.5,313.5,313.5,0.03K
04/01/2023,2023,Apr,326.5,326.5,326.5,367.5,336.75,0.01K
05/01/2023,2023,May,295,295,295,295,295,0.07K
06/01/2023,2023,Jun,304.5,304.5,304.5,304.5,304.5,0.15K
07/01/2023,2023,Jul,419,419,419,419,419,0.03K
08/01/2023,2023,Aug,371.7,371.7,371.7,371.7,371.7,0.05K
09/01/2023,2023,Sep,390,390,390,390,390,
10/01/2023,2023,Oct,357.5,357.5,357.5,357.5,357.5,
11/01/2023,2023,Nov,326.5,326.5,326.5,326.5,326.5,
12/01/2023,2023,Dec,310,310,310,310,310,0.02K
01/01/2024,2024,Jan,354.5,354.5,354.5,354.5,354.5,0.05K
02/01/2024,2024,Feb,357.8,357.8,357.8,357.8,357.8,
03/01/2024,2024,Mar,378.5,378.5,378.5,378.5,378.5,0.06K
04/01/2024,2024,Apr,308.43,308.43,308.43,308.43,308.43,0.12K
05/01/2024,2024,May,290.11,290.11,290.11,290.11,290.11,
06/01/2024,2024,Jun,303.38,303.38,303.38,303.38,303.38,0.07K
07/01/2024,2024,Jul,303.66,303.66,303.66,303.66,303.66,0.02K
08/01/2024,2024,Aug,308.09,308.09,308.09,308.09,308.09,
09/01/2024,2024,Sep,315.82,315.82,315.82,315.82,315.82,0.08K
10/01/2024,2024,Oct,323.75,333.75,323.75,327.65,327.23,0.11K
11/01/2024,2024,Nov,317.75,317.75,309.5,311.11,314.03,0.02K
12/01/2024,2024,Dec,311.75,337.5,311.75,337.5,324.63,0.03K
01/01/2025,2025,Jan,338.5,359.89,337,359.89,348.82,0.02K
02/01/2025,2025,Feb,387,401.5,387,397.68,393.3,0.05K
03/01/2025,2025,Mar,395,395,379,379.05,387.01,0.16K
04/01/2025,2025,Apr,387.5,424.31,382.25,424.31,404.59,0.17K
05/01/2025,2025,May,473.25,494.5,448.05,448.05,465.96,0.17K
06/01/2025,2025,Jun,362.25,384.9,356.25,384.9,372.08,0.10K
07/01/2025,2025,Jul,401.5,433.25,401.5,433.25,417.38,0.08K
08/01/2025,2025,Aug,460,462.5,433.76,433.76,447.51,0.18K
09/01/2025,2025,Sep,411.5,411.5,402.25,402.25,406.88,
