Year,ca_gdp,us_gdp
1960,15432.47178,18991.5446
1961,15605.52322,19108.93536
1962,16455.75352,19965.14358
1963,17007.69074,20545.78425
1964,17800.86413,21437.58407
1965,18585.88146,22526.20551
1966,19476.02704,23714.93903
1967,19715.09362,24044.56513
1968,20371.14406,24948.3569
1969,21114.28705,25471.61618
1970,21428.90916,25231.12716
1971,21642.54078,25734.48284
1972,22573.56628,26798.53361
1973,23799.69553,28042.55192
1974,24257.8168,27637.29977
1975,24275.81275,27309.86882
1976,25369.46343,28509.14306
1977,25960.63922,29528.96637
1978,26663.77071,30834.99923
1979,27384.67793,31462.10039
1980,27622.37338,31081.62163
1981,28215.53085,31559.12934
1982,26999.07907,30696.08344
1983,27418.4916,31810.92161
1984,28762.9722,33818.82355
1985,29851.64328,34918.1302
1986,30183.40878,35794.88777
1987,31001.12984,36701.94539
1988,31951.55048,37889.37735
1989,32116.92334,38911.5419
1990,31700.54627,39200.06581
1991,30654.33314,38637.83981
1992,30563.37882,39447.94729
1993,31032.7546,40002.47623
1994,32074.15624,41106.98818
1995,32595.45152,41710.82072
1996,32801.30185,42783.81657
1997,33867.00791,44151.68604
1998,34894.61343,45596.43068
1999,36391.53533,47234.24553
2000,37906.86012,48616.25463
2001,38200.45611,48597.42461
2002,38921.6673,48967.36612
2003,39270.02345,49905.52331
2004,40108.75874,51348.34734
2005,41006.22293,52649.57131
2006,41663.51231,53596.31524
2007,42106.87243,54152.82927
2008,42067.5687,53703.9629
2009,40376.41537,51863.61834
2010,41164.33991,52821.40476
2011,42043.64196,53259.25521
2012,42320.64313,54080.22865
2013,42851.17053,54844.24258
2014,43643.23565,55817.56325
2015,43594.1941,57040.20821
2016,43551.3426,57658.67088
2017,44339.38867,58703.14408
2018,44907.34368,60127.21028
2019,45100.29149,61400.54815
2020,42366.12852,59493.14598
2021,44359.61673,62996.28938
2022,45227.14474,64342.11794
2023,44468.7475,65875.17788
