observation_date,inflation,sp_return,real_gdp,nominal_gdp
1960,1.457975986,0.47,3500.272,542.382
1961,1.070724148,26.89,3590.066,562.209
1962,1.198773348,-8.73,3810.124,603.922
1963,1.239669421,22.8,3976.142,637.45
1964,1.278911565,16.48,4205.277,684.46
1965,1.585169264,12.45,4478.555,742.289
1966,3.015075377,-10.06,4773.931,813.414
1967,2.772785623,23.98,4904.864,859.959
1968,4.271796153,11.06,5145.914,940.651
1969,5.4623862,-8.5,5306.594,1017.615
1970,5.838255338,4.01,5316.391,1073.303
1971,4.292766688,14.31,5491.445,1164.85
1972,3.272278247,18.98,5780.048,1279.11
1973,6.177760064,-14.66,6106.371,1425.376
1974,11.0548048,-26.47,6073.363,1545.243
1975,9.143146865,37.2,6060.875,1684.904
1976,5.744812635,23.84,6387.437,1873.412
1977,6.501683995,-7.18,6682.804,2081.826
1978,7.630963839,6.56,7052.711,2351.599
1979,11.25447113,18.44,7275.999,2627.333
1980,13.54920197,32.42,7257.316,2857.307
1981,10.33471534,-4.91,7441.485,3207.041
1982,6.131427,21.55,7307.314,3343.789
1983,3.212435233,22.56,7642.266,3634.038
1984,4.300535475,6.27,8195.295,4037.613
1985,3.545644152,31.73,8537.004,4338.979
1986,1.898047722,18.67,8832.611,4579.631
1987,3.664563218,5.25,9137.745,4855.215
1988,4.077741107,16.61,9519.427,5236.438
1989,4.82700303,31.69,9869.003,5641.58
1990,5.39795644,-3.1,10055.129,5963.144
1991,4.234963965,30.47,10044.238,6158.129
1992,3.028819678,7.62,10398.046,6520.327
1993,2.951656966,10.08,10684.179,6858.559
1994,2.607441592,1.32,11114.647,7287.236
1995,2.805419689,37.58,11413.012,7639.749
1996,2.9312042,22.96,11843.599,8073.122
1997,2.337689937,33.36,12370.299,8577.552
1998,1.552279099,28.58,12924.876,9062.817
1999,2.188027197,21.04,13543.774,9631.172
2000,3.376857271,-9.1,14096.033,10250.952
2001,2.826171119,-11.89,14230.726,10581.929
2002,1.586031627,-22.1,14472.712,10929.108
2003,2.270094973,28.68,14877.312,11456.45
2004,2.677236693,10.88,15449.757,12217.196
2005,3.392746845,4.91,15987.957,13039.197
2006,3.225944101,15.79,16433.148,13815.583
2007,2.852672482,5.49,16762.445,14474.228
2008,3.839100297,-37,16781.485,14769.862
2009,-0.355546266,26.46,16349.11,14478.067
2010,1.640043442,15.06,16789.75,15048.971
2011,3.156841569,2.11,17052.41,15599.732
2012,2.069337265,16,17442.759,16253.97
2013,1.464832656,32.39,17812.167,16880.683
2014,1.622222977,13.69,18261.714,17608.138
2015,0.118627136,1.38,18799.622,18295.019
2016,1.261583206,11.96,19141.672,18804.913
2017,2.130110004,21.83,19612.102,19612.102
2018,2.442583297,-4.38,20193.896,20656.516
2019,1.812210075,31.49,20715.671,21539.982
2020,1.233584396,18.4,20267.585,21354.105
2021,4.697858864,28.71,21494.798,23681.171
2022,8.002799821,-18.11,22034.828,26006.893
2023,4.116338384,26.29,22671.096,27720.709
2024,2.949525205,25.02,23305.023,29184.89
